date,region_id,type_id,average,lowest,highest,volume,order_count
2017-02-13,10000001,20,165.06,158.02,170,240370,21
2017-02-13,10000001,21,475.01,475.01,475.01,720,1
2017-02-13,10000001,22,1500.01,1500.01,1500.01,3,1
2017-02-13,10000001,34,4,3.34,4.05,23246111,85
2017-02-13,10000001,35,5.7,5.55,5.76,2180332,54
2017-02-13,10000001,36,64,64,64,5236053,55
2017-02-13,10000001,37,49,49,49,449867,43
2017-02-13,10000001,38,320,320,320,1095778,42
2017-02-13,10000001,39,1544,1544,1544,189977,23
2017-02-13,10000001,40,1900,1900,1900,5324,16
2017-02-13,10000001,44,12598,12598,12598,4810,2
2017-02-13,10000001,178,0.01,0.01,0.01,100,1
2017-02-13,10000001,179,1,1,1,500,3
2017-02-13,10000001,181,13,13,13,3100,2
2017-02-13,10000001,182,15,15,15,3900,2
2017-02-13,10000001,183,0.01,0.01,0.01,200,2
2017-02-13,10000001,185,18.9,18.9,18.9,25200,2
2017-02-13,10000001,190,79.5,79.5,79.5,13600,3
2017-02-13,10000001,191,89,89,89,10100,3
2017-02-13,10000001,192,90,90,90,10000,2
2017-02-13,10000001,202,375,375,375,1000,1
2017-02-13,10000001,206,60,60,60,5800,1
2017-02-13,10000001,207,70,70,70,7550,3
2017-02-13,10000001,210,22,22,22,10100,2
2017-02-13,10000001,211,15,15,15,33487,5
2017-02-13,10000001,212,20,20,20,62871,4
2017-02-13,10000001,213,10,10,10,99800,2
2017-02-13,10000001,217,25,25,25,1000,1
2017-02-13,10000001,221,1,0.99,1,200,2
2017-02-13,10000001,222,31,31,31,8900,6
2017-02-13,10000001,224,54.52,49.99,59.04,6000,2
2017-02-13,10000001,229,60,60,60,30892,1
2017-02-13,10000001,230,85,85,85,13099,3
2017-02-13,10000001,239,10000,10000,10000,4,1
2017-02-13,10000001,240,9999.5,9999,10000,2,2
2017-02-13,10000001,241,1437.89,10.87,10000,7,5
2017-02-13,10000001,242,1500,1500,1500,3,3
2017-02-13,10000001,243,2500,2500,2500,9,2
2017-02-13,10000001,244,3562.5,500,4000,8,3
2017-02-13,10000001,245,617.66,100.01,2300.01,17,7
2017-02-13,10000001,246,70166.67,12500,99000,12,2
2017-02-13,10000001,248,12857.89,10000,24000,19,6
