date,region_id,type_id,average,lowest,highest,volume,order_count
2017-01-25,10000001,20,158.02,158.02,158.02,234551,29
2017-01-25,10000001,34,4.48,4.48,4.48,63958056,74
2017-01-25,10000001,35,7,7,7,34291699,62
2017-01-25,10000001,36,65,65,65,8637090,59
2017-01-25,10000001,37,57,57,57,2874469,37
2017-01-25,10000001,38,370,370,370,104909,42
2017-01-25,10000001,39,1400,1400,1400,65686,24
2017-01-25,10000001,40,1400,1400,1400,187929,21
2017-01-25,10000001,44,12800,12800,12800,130,2
2017-01-25,10000001,178,0.01,0.01,0.01,91,1
2017-01-25,10000001,179,1,1,1,291,3
2017-01-25,10000001,180,14.5,14.5,14.5,5000,1
2017-01-25,10000001,181,0.01,0.01,0.01,80,1
2017-01-25,10000001,182,0.01,0.01,0.01,99,1
2017-01-25,10000001,183,0.01,0.01,0.01,10,1
2017-01-25,10000001,184,0.5,0.5,0.5,100,1
2017-01-25,10000001,185,30.55,30.55,30.55,5440,3
2017-01-25,10000001,191,1.49,1.49,1.49,13,1
2017-01-25,10000001,192,189.99,189.99,189.99,2000,1
2017-01-25,10000001,193,155,155,155,1000,1
2017-01-25,10000001,199,379.99,379.99,379.99,5000,1
2017-01-25,10000001,205,349,349,349,1000,1
2017-01-25,10000001,206,75,75,75,3800,3
2017-01-25,10000001,207,99.99,99.99,99.99,7300,3
2017-01-25,10000001,208,94,94,94,2500,1
2017-01-25,10000001,209,50,50,50,51400,2
2017-01-25,10000001,210,17.21,17.21,17.21,16100,3
2017-01-25,10000001,211,19.99,19.99,19.99,600,1
2017-01-25,10000001,212,25,25,25,1000,1
2017-01-25,10000001,213,17.18,17.18,17.18,161200,6
2017-01-25,10000001,215,20,20,20,1500,1
2017-01-25,10000001,216,18.45,18.45,18.45,200,2
2017-01-25,10000001,217,25,25,25,90,1
2017-01-25,10000001,219,19,19,19,10300,3
2017-01-25,10000001,221,1,1,1,326,1
2017-01-25,10000001,222,1,1,1,143,2
2017-01-25,10000001,223,35,35,35,6000,1
2017-01-25,10000001,239,100,100,100,4,3
2017-01-25,10000001,240,2574.75,100,9999,4,4
2017-01-25,10000001,241,50,50,50,1,1
2017-01-25,10000001,242,1033.33,100,1500,9,4
2017-01-25,10000001,243,55,55,55,1,1
2017-01-25,10000001,244,50,50,50,5,5
2017-01-25,10000001,245,100,100,100,1,1
2017-01-25,10000001,246,7587.5,7000,10000,24,4
2017-01-25,10000001,248,100,100,100,1,1
2017-01-25,10000001,249,50,50,50,1,1
2017-01-25,10000001,250,200,200,200,1,1
2017-01-25,10000001,254,29600,29600,29600,1,1
2017-01-25,10000001,263,399.99,399.99,399.99,1,1
2017-01-25,10000001,377,41666.67,35000,45000,3,2
2017-01-25,10000001,380,595000,590000,600000,2,2
2017-01-25,10000001,393,50000,50000,50000,1,1
2017-01-25,10000001,434,141791.67,122500,147750,12,11
2017-01-25,10000001,438,4500000,4500000,4500000,1,1
2017-01-25,10000001,439,22000,22000,22000,1,1
2017-01-25,10000001,440,4208749.75,3955000,4969998.99,4,4
2017-01-25,10000001,442,55000,55000,55000,1,1
2017-01-25,10000001,444,36608.39,30000,43216.78,2,2
2017-01-25,10000001,448,1749999.97,1749999.97,1749999.97,1,1
2017-01-25,10000001,452,44545.45,40000,45000,11,3
2017-01-25,10000001,482,1694999.99,940000,2449999.98,4,2
2017-01-25,10000001,499,15000,15000,15000,3,1
2017-01-25,10000001,519,1043599.96,799999.99,1104499.96,5,3
2017-01-25,10000001,523,39000,39000,39000,1,1
2017-01-25,10000001,526,80000,80000,80000,1,1
2017-01-25,10000001,561,8900,8900,8900,1,1
2017-01-25,10000001,578,157851.96,150000,219449.94,17,6
2017-01-25,10000001,585,690000,690000,690000,1,1
2017-01-25,10000001,586,637499.89,575000,699999.77,2,2
2017-01-25,10000001,590,550000,550000,550000,1,1
2017-01-25,10000001,592,150000,50000,250000,2,2
2017-01-25,10000001,593,450000,450000,450000,3,3
2017-01-25,10000001,594,925000,925000,925000,1,1
2017-01-25,10000001,597,489999,489999,489999,1,1
2017-01-25,10000001,603,424750,400000,500000,4,4
2017-01-25,10000001,605,787500,575000,1000000,2,2
2017-01-25,10000001,607,733333.33,600000,800000,3,3
2017-01-25,10000001,608,430769.23,50000,500000,13,5
2017-01-25,10000001,609,500000,500000,500000,1,1
2017-01-25,10000001,621,10000000,10000000,10000000,1,1
2017-01-25,10000001,624,12100000,12100000,12100000,1,1
2017-01-25,10000001,626,10499999.25,9999999,12000000,4,2
2017-01-25,10000001,628,12000000,12000000,12000000,1,1
2017-01-25,10000001,629,7900000,4000000,11800000,2,2
2017-01-25,10000001,631,4000000,4000000,4000000,1,1
2017-01-25,10000001,648,1850000.01,1850000.01,1850000.01,1,1
2017-01-25,10000001,649,2000000,2000000,2000000,1,1
2017-01-25,10000001,650,2100000,2100000,2100000,1,1
2017-01-25,10000001,652,2200000,1900000,2500000,2,2
2017-01-25,10000001,654,1999999,1999999,1999999,1,1
2017-01-25,10000001,655,1950000,1900000,2000000,2,2
2017-01-25,10000001,657,1850000,1500000,2025000,3,3
2017-01-25,10000001,672,42929.68,14500,46178.39,10,10
2017-01-25,10000001,690,5000000,5000000,5000000,2,1
2017-01-25,10000001,807,1899925,1899925,1899925,1,1
2017-01-25,10000001,808,1899925,1899925,1899925,1,1
2017-01-25,10000001,809,1899925,1899925,1899925,1,1
2017-01-25,10000001,810,2899925,2899925,2899925,1,1
2017-01-25,10000001,811,900000,900000,900000,1,1
2017-01-25,10000001,812,900000,900000,900000,1,1
2017-01-25,10000001,813,900000,900000,900000,1,1
2017-01-25,10000001,814,900000,900000,900000,1,1
2017-01-25,10000001,1183,833666.67,610000,945500,3,3
2017-01-25,10000001,1198,389000,389000,389000,1,1
2017-01-25,10000001,1201,139000,139000,139000,2,2
2017-01-25,10000001,1202,100000,100000,100000,1,1
2017-01-25,10000001,1224,43,43,43,101179,8
2017-01-25,10000001,1226,265.01,265.01,265.01,173,1
2017-01-25,10000001,1227,20,20,20,29659,2
2017-01-25,10000001,1228,14.41,14.41,14.41,181663,10
2017-01-25,10000001,1230,10.68,10.68,10.68,318442,12
2017-01-25,10000001,1236,899999.97,699999.93,1100000,2,2
2017-01-25,10000001,1244,56749.99,47000,59999.99,4,2
2017-01-25,10000001,1248,1274999.98,1274999.98,1274999.98,2,1
2017-01-25,10000001,1296,200000,200000,200000,1,1
2017-01-25,10000001,1306,654999.66,654999.66,654999.66,1,1
2017-01-25,10000001,1317,244158,10000,1445000,13,6
2017-01-25,10000001,1319,1250628.7,600000,4999999.99,31,17
2017-01-25,10000001,1403,27125,27000,30000,8,4
2017-01-25,10000001,1405,758000,640000,1069999.99,20,8
2017-01-25,10000001,1422,750000,750000,750000,1,1
2017-01-25,10000001,1808,50000,50000,50000,1,1
2017-01-25,10000001,1822,75,75,75,3500,1
2017-01-25,10000001,1877,1899997.96,1899997.96,1899997.96,5,2
2017-01-25,10000001,1944,1950000,1950000,1950000,1,1
2017-01-25,10000001,1957,50000,50000,50000,1,1
2017-01-25,10000001,1973,63999,63999,63999,1,1
2017-01-25,10000001,1986,50000,50000,50000,1,1
2017-01-25,10000001,1999,940000,940000,940000,3,1
2017-01-25,10000001,2032,721323.96,681985.89,800000.1,3,3
2017-01-25,10000001,2038,900000,900000,900000,1,1
2017-01-25,10000001,2046,24799.66,17199.5,40000,3,3
2017-01-25,10000001,2048,710499.89,600000,799999.99,20,13
2017-01-25,10000001,2108,75000,75000,75000,1,1
2017-01-25,10000001,2173,46629.44,46629.44,46629.44,10,1
2017-01-25,10000001,2175,1766666.67,1499999.99,1820000,24,2
2017-01-25,10000001,2183,40000,40000,40000,12,3
2017-01-25,10000001,2185,1261111.13,1199999.99,1750000,9,4
2017-01-25,10000001,2193,190818.15,99000,199999.96,11,2
2017-01-25,10000001,2195,2300000,2300000,2300000,10,1
2017-01-25,10000001,2203,28789.52,5000.09,119999.99,19,4
2017-01-25,10000001,2204,1200000,1200000,1200000,1,1
2017-01-25,10000001,2205,499999.98,499999.98,499999.99,23,4
2017-01-25,10000001,2281,2774999.83,2600000,3999998.99,6,5
2017-01-25,10000001,2293,270000,270000,270000,1,1
2017-01-25,10000001,2295,267500,259999.99,275000,2,2
2017-01-25,10000001,2301,2474996.48,2300000.1,2999998.99,4,4
2017-01-25,10000001,2333,1083999.99,850000,1200999.99,3,3
2017-01-25,10000001,2364,1150000,1150000,1150000,1,1
2017-01-25,10000001,2393,450,450,450,28120,1
2017-01-25,10000001,2403,23999000.09,23999000.09,23999000.09,1,1
2017-01-25,10000001,2436,3999999.99,3999999.99,3999999.99,8,2
2017-01-25,10000001,2444,109750,100000,139000,4,2
2017-01-25,10000001,2446,2299000,2299000,2299000,3,1
2017-01-25,10000001,2454,3999.55,3999.55,4999.99,127,27
2017-01-25,10000001,2455,1200000,1200000,1200000,1,1
2017-01-25,10000001,2456,463571.32,425000,520000.1,56,12
2017-01-25,10000001,2464,5071.43,3000,15000,14,4
2017-01-25,10000001,2476,60000,60000,60000,1,1
2017-01-25,10000001,2486,32311.1,7999.99,119999.99,18,3
2017-01-25,10000001,2488,575438.12,489471.53,600000,9,4
2017-01-25,10000001,2495,1780000.87,1780000.87,1780000.87,2,1
2017-01-25,10000001,2510,388.69,388.69,388.69,500,1
2017-01-25,10000001,2512,15,15,15,5000,1
2017-01-25,10000001,2524,189000.03,81000,243000.04,3,3
2017-01-25,10000001,2525,162000.02,81000,243000.04,2,2
2017-01-25,10000001,2533,243000.04,243000.04,243000.04,1,1
2017-01-25,10000001,2534,162000.02,81000,243000.04,2,2
2017-01-25,10000001,2549,162000.02,81000,243000.04,2,2
2017-01-25,10000001,2550,81000,81000,81000,1,1
2017-01-25,10000001,2551,243000.04,243000.04,243000.04,2,2
2017-01-25,10000001,2553,1500000,1500000,1500000,1,1
2017-01-25,10000001,2603,255250,10500,499999.99,4,2
2017-01-25,10000001,2605,545384.53,360000,680000,13,6
2017-01-25,10000001,2629,550.01,550.01,550.01,5000,2
2017-01-25,10000001,2867,0.05,0.05,0.05,44,1
2017-01-25,10000001,2868,0.05,0.05,0.05,13,1
2017-01-25,10000001,2869,0.05,0.05,0.05,4,1
2017-01-25,10000001,2870,1000000,1000000,1000000,13,1
2017-01-25,10000001,2872,0.05,0.05,0.05,21,1
2017-01-25,10000001,2875,0.05,0.05,0.05,2,1
2017-01-25,10000001,2876,2000000,2000000,2000000,21,2
2017-01-25,10000001,2889,990000,990000,990000,4,1
2017-01-25,10000001,2913,1348000,1348000,1348000,6,1
2017-01-25,10000001,3001,680000,680000,680000,4,1
2017-01-25,10000001,3057,6300000,6300000,6300000,4,1
2017-01-25,10000001,3184,2244999.99,2244999.99,2244999.99,1,1
2017-01-25,10000001,3244,1700000,1299999.99,1900000,4,4
2017-01-25,10000001,3297,11071.43,10000,17500,7,2
2017-01-25,10000001,3304,499000,499000,499000,1,1
2017-01-25,10000001,3310,799000,799000,799000,1,1
2017-01-25,10000001,3311,1199000,1199000,1199000,1,1
2017-01-25,10000001,3315,2399000,2399000,2399000,1,1
2017-01-25,10000001,3317,599000.09,599000.09,599000.09,1,1
2017-01-25,10000001,3318,199000,199000,199000,1,1
2017-01-25,10000001,3319,299000,299000,299000,3,3
2017-01-25,10000001,3320,599000,599000,599000,1,1
2017-01-25,10000001,3321,499000,499000,499000,1,1
2017-01-25,10000001,3322,199000.09,199000.09,199000.09,1,1
2017-01-25,10000001,3323,199000,199000,199000,1,1
2017-01-25,10000001,3324,1300615.62,1299000,1302231.24,2,2
2017-01-25,10000001,3329,470000.87,470000.87,470000.87,1,1
2017-01-25,10000001,3331,270000.87,270000.87,270000.87,1,1
2017-01-25,10000001,3332,999000,999000,999000,2,2
2017-01-25,10000001,3335,1344250.22,1199000,1780000.87,4,4
2017-01-25,10000001,3336,7199000,7199000,7199000,1,1
2017-01-25,10000001,3340,1399000,1399000,1399000,1,1
2017-01-25,10000001,3348,699000,699000,699000,2,2
2017-01-25,10000001,3354,4499000,4499000,4499000,1,1
2017-01-25,10000001,3355,793093.5,606186.13,980000.87,2,2
2017-01-25,10000001,3357,799000,799000,799000,1,1
2017-01-25,10000001,3363,2134500.44,1799000,2470000.87,2,2
2017-01-25,10000001,3395,1299000,1299000,1299000,1,1
2017-01-25,10000001,3396,5499000,5499000,5499000,1,1
2017-01-25,10000001,3406,1584500.44,1199000,1970000.87,2,2
2017-01-25,10000001,3409,1699000.08,1699000.08,1699000.08,1,1
2017-01-25,10000001,3413,199000,199000,199000,1,1
2017-01-25,10000001,3417,699000,699000,699000,2,2
2017-01-25,10000001,3423,1899000,1899000,1899000,1,1
2017-01-25,10000001,3426,99000,99000,99000,1,1
2017-01-25,10000001,3429,399000.09,399000.09,399000.09,1,1
2017-01-25,10000001,3435,199000,199000,199000,1,1
2017-01-25,10000001,3437,154500.43,40999.99,268000.87,2,2
2017-01-25,10000001,3438,299000,299000,299000,1,1
2017-01-25,10000001,3439,699000.09,699000.09,699000.09,1,1
2017-01-25,10000001,3440,360000.01,360000,360000.01,2,2
2017-01-25,10000001,3441,1199500,1199000,1200000,2,2
2017-01-25,10000001,3442,2990000,2980000,3000000,2,2
2017-01-25,10000001,3453,49999.99,49999.99,49999.99,1,1
2017-01-25,10000001,3454,2299000,2299000,2299000,1,1
2017-01-25,10000001,3467,5000,5000,5000,1,1
2017-01-25,10000001,3530,1662500,1625000,1700000,2,2
2017-01-25,10000001,3581,2000000,2000000,2000000,1,1
2017-01-25,10000001,3645,201.05,201.05,201.05,110,6
2017-01-25,10000001,3651,7385.49,7385.49,7385.49,4,1
2017-01-25,10000001,3683,400,400,400,21053,2
2017-01-25,10000001,3687,719.26,719.26,719.26,6000,1
2017-01-25,10000001,3689,12000,12000,12000,4504,2
2017-01-25,10000001,3814,27.6,27.6,27.6,1000,1
2017-01-25,10000001,3829,45200,37500,49500,10,5
2017-01-25,10000001,3831,929617.01,900000,942499,18,11
2017-01-25,10000001,3839,224999.97,224999.97,224999.97,2,1
2017-01-25,10000001,3841,1099999.59,899999,1250000,7,4
2017-01-25,10000001,3887,67000,67000,67000,1,1
2017-01-25,10000001,4025,169675.78,142500.03,385000,4,4
2017-01-25,10000001,4027,174999.25,149999,250000,4,2
2017-01-25,10000001,4051,2202.16,2202.16,2202.16,23092,1
2017-01-25,10000001,4246,14556.11,14556.11,14556.11,16396,3
2017-01-25,10000001,4247,22000,22000,22000,8253,3
2017-01-25,10000001,4254,800000,800000,800000,1,1
